"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""black""][word=""leather""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2017-06-28","the heated conversation took place straight after the workout, with the former actress simply carrying her iPhone and","black leather","wallet </s><s> Looking for a quick getaway? </s><s> Bec''s companion also appeared to be making her way back to her car, carrying her keys"
"2017-06-29","fibre, inlaid with aircraft-grade aluminum threads and hand polished to a mirror finish, and upholstery trimmed in","black leather","with mandarin highlights. </s><s> While the show car has been tailored to show the Dawn Black Badge''s more sinister side, as"
"2017-07-28","for ""Watch Me,"" the latest single from his forthcoming album, SYRE. </s><s> Styled like a rockstar, the 19-year-old MSFT dons a","black leather","jacket that reads ""Fuck Off"" on the back. </s><s> Sporting skintight pants and stylish boots, he shows off his dance moves in the"
"2017-08-13","outrage and accusations of sexism, especially as the equivalent version for boys is called ""Leader"". </s><s> Both shoes are","black leather",", but the Dolly Babe has the added cloying detail of a pink insole printed with hearts, while the version for boys - which"
"2017-08-23","amounts of money just stand out from the crowd. </s><s> The Lamborghini Alpha One smartphone is made of ""Italian handmade","black leather",""" which might appeal to someone who probably has very bad taste in fashion. </s><s> The smartphone wants to make their users feel"
"2017-09-06","Sorento GT Line which comes with four lamp LED Fogs, red brake callipers, more prominent sills, chrome twin exhaust,","black leather","quilted seats with grey contrast stitching and splashes of satin chrome. </s><s> Under the skin it''s the same Hobson''s 2.2"
"2017-10-25","are anniversary edition badges on the front fenders. </s><s> The styling changes continue in the cabin as designers installed","black leather","seats with orange inserts and orange contrast stitching. </s><s> Drivers will also find embossed headrests, orange kneepads"
"2017-11-01","but his own story has twists and turns. </s><s> He''s a vision in black as he calls for us from the top of the staircase. </s><s> Black jeans,","black leather","jacket, black cowboy boots. </s><s> He warns the photographer to dig out some vaseline for the camera lens. </s><s> His 75-year-old"
"2017-11-15","tried to disguise herself in a pair of aviator shades as she parked her silver convertible. </s><s> Melanie was wearing a","black leather","jacket and had a scarf wrapped around her neck - no doubt to shield her from the London chilly weather as she was driving"
"2017-11-15","polished, components - a process that took no less than four years in total. </s><s> The interior was refurbished too, with","black leather","replaced with a red Mulberry leather cabin </s><s> The car was sold at auction in 2012 for £344,400, showing just how much it has"
"2017-11-29","clear. </s><s> Other PPG colors include two-tone with Lamborghini Gray and Chevy White. </s><s> The interior sports bomber gray and","black leather",", with the stock seats custom-cut to make them into buckets (owner built, with help from Jim''s Custom Upholstery in"
"2017-12-08","younger... </s><s> I realized early, I gotta be a man now, I can''t even be a boy."" </s><s> Now 30, with a wife and child, he isn''t the kid in a","black leather","jacket scaring college freshmen anymore. </s><s> ""Anybody who''s been watching me or watching my music, you''re literally"
"2018-01-18","back to the scene of the crime. </s><s> Donatella (Penélope Cruz) arrives in a black limousine wearing black leather pants, a","black leather","blazer, and black sunglasses, making her signature blonde hair (Gianni convinced her to dye it) appear even more"
